mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-07-21 20:47:10.067286784,69.1117,-49.4604,11014.0,86.0,-7352.0,44.8,8201.0,108.1,5,S,1A,3413
2009-08-22 14:50:47.010190080,69.1117,-49.4604,8208.0,146.0,-5746.0,186.0,5860.0,93.2,16,L,7,3413
2018-09-23 09:51:38.118312960,69.1117,-49.4604,7220.0,286.0,-5005.0,405.7,5203.0,72.8,12,S,1B,3413
2018-11-05 15:10:11.180708096,69.1117,-49.4604,386.0,5.0,-381.0,4.6,-66.0,6.7,240,S,2A,3413
2017-11-30 15:09:09.170727936,69.1117,-49.4604,373.0,4.0,-368.0,4.1,-61.0,6.6,250,S,2B,3413
2016-07-29 15:30:01.660723968,69.1117,-49.4604,9384.0,14.0,-6323.0,14.3,6934.0,14.6,9,S,2A,3413
1997-06-07 02:26:41.109569024,69.1117,-49.4604,2921.0,168.0,-1993.0,170.7,2135.0,165.4,23,L,5,3413
2020-11-05 15:29:14.200708096,69.1117,-49.4604,432.0,4.0,-415.0,3.9,-119.0,6.1,240,S,2B,3413
1991-12-03 14:24:24.665868032,69.1117,-49.4604,841.0,25.0,-840.0,25.3,-16.0,28.9,240,L,5,3413
2019-05-12 09:52:04.900173056,69.1117,-49.4604,6120.0,38.0,-4212.0,20.3,4440.0,48.4,5,S,1A,3413
2017-11-30 09:51:52.213021952,69.1117,-49.4604,6750.0,325.0,-4501.0,440.7,5030.0,185.9,5,S,1A,3413
1991-10-25 14:17:23.309980032,69.1117,-49.4604,784.0,12.0,-783.0,12.3,-25.0,15.1,368,L,5,3413
2019-07-02 03:28:45.190629376,69.1117,-49.4604,7531.0,43.0,-5187.0,46.0,5459.0,40.9,4,S,2A,3413
2020-07-08 15:29:11.200702976,69.1117,-49.4604,8861.0,55.0,-6078.0,54.2,6449.0,54.8,10,S,2A,3413
1992-09-17 14:17:35.173366144,69.1117,-49.4604,766.0,12.0,-763.0,12.4,-76.0,11.9,351,L,5,3413
1991-04-04 02:19:14.181399040,69.1117,-49.4604,3215.0,100.0,-2779.0,96.6,1617.0,109.3,40,L,5,3413
2018-06-21 15:18:34.180615936,69.1117,-49.4604,6102.0,58.0,-4200.0,53.9,4426.0,61.0,9,S,2B,3413
2021-05-18 15:09:11.210512896,69.1117,-49.4604,8639.0,42.0,-5829.0,34.2,6377.0,47.0,10,S,2A,3413
1992-10-11 14:17:23.695548928,69.1117,-49.4604,778.0,14.0,-778.0,13.6,-27.0,20.3,303,L,5,3413
2021-05-13 15:09:11.210502912,69.1117,-49.4604,8092.0,31.0,-5507.0,25.9,5929.0,35.2,20,S,2A,3413
2019-07-09 15:28:19.190703872,69.1117,-49.4604,7912.0,14.0,-5357.0,13.9,5822.0,13.9,10,S,2B,3413
2018-08-24 20:46:53.498665216,69.1117,-49.4604,7002.0,44.0,-4657.0,24.5,5230.0,54.5,6,S,1B,3413
