mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-12-02 03:19:43.374202112,61.1804,-146.9751,1882.0,36.0,-809.0,31.3,1699.0,37.2,35,S,1B,3413
2020-06-11 09:26:00.191012096,61.1804,-146.9751,12.0,2.0,4.0,2.6,11.0,2.3,485,S,2A,3413
2020-06-03 21:26:46.191011840,61.1804,-146.9751,14.0,3.0,9.0,4.0,10.0,2.6,470,S,2A,3413
2013-05-16 08:54:11.027100928,61.1804,-146.9751,3070.0,46.0,-1103.0,46.6,2865.0,46.0,55,L,7,3413
2018-06-24 21:26:16.171100928,61.1804,-146.9751,13.0,2.0,1.0,2.3,13.0,1.8,469,S,2A,3413
2016-11-08 21:16:57.161024000,61.1804,-146.9751,2112.0,34.0,-837.0,46.5,1939.0,31.3,30,S,2A,3413
2017-07-31 21:16:41.661123072,61.1804,-146.9751,7.0,3.0,1.0,5.5,6.0,2.4,499,S,2A,3413
2018-05-12 03:19:36.348920064,61.1804,-146.9751,3441.0,46.0,-1356.0,32.8,3163.0,47.6,36,S,1B,3413
2017-03-18 03:19:27.734351872,61.1804,-146.9751,3435.0,62.0,-1411.0,48.3,3132.0,64.0,12,S,1B,3413
2020-02-04 21:26:54.200125184,61.1804,-146.9751,5309.0,32.0,-2233.0,45.6,4816.0,27.9,19,S,2B,3413
2019-08-03 21:25:29.190728960,61.1804,-146.9751,1883.0,23.0,-822.0,27.3,1694.0,21.8,10,S,2B,3413
2006-03-06 20:45:22.527824000,61.1804,-146.9751,2531.0,111.0,-699.0,94.7,2432.0,112.5,16,L,7,3413
2019-06-09 09:15:25.180929024,61.1804,-146.9751,9.0,3.0,2.0,3.4,9.0,2.5,505,S,2B,3413
2004-08-03 08:41:05.421160960,61.1804,-146.9751,1393.0,39.0,-667.0,44.7,1223.0,36.6,87,L,5,3413
2018-06-29 21:25:21.180609024,61.1804,-146.9751,1934.0,26.0,-742.0,34.9,1786.0,24.1,40,S,2A,3413
2000-09-28 20:52:10.057818880,61.1804,-146.9751,2077.0,25.0,-751.0,38.3,1936.0,21.9,95,L,7,3413
2009-04-06 20:51:44.044930048,61.1804,-146.9751,3473.0,49.0,-1185.0,73.9,3265.0,45.3,48,L,7,3413
2009-08-05 20:44:26.272770048,61.1804,-146.9751,1874.0,40.0,-708.0,43.6,1735.0,39.2,64,L,5,3413
2020-06-18 03:19:51.379116032,61.1804,-146.9751,4051.0,55.0,-2283.0,58.3,3346.0,53.5,12,S,1B,3413
2014-06-23 20:58:56.527728128,61.1804,-146.9751,1882.0,54.0,-717.0,44.7,1740.0,55.6,80,L,7,3413
1994-09-13 20:11:51.038852992,61.1804,-146.9751,1001.0,104.0,-318.0,133.6,950.0,100.3,31,L,5,3413
2019-08-25 21:15:19.190705920,61.1804,-146.9751,1763.0,13.0,-800.0,19.5,1571.0,10.5,100,S,2B,3413
2019-10-12 09:16:15.190914048,61.1804,-146.9751,2211.0,20.0,-978.0,28.1,1983.0,16.9,55,S,2B,3413
2018-03-31 09:15:10.180323072,61.1804,-146.9751,3739.0,28.0,-1455.0,38.0,3445.0,26.0,15,S,2B,3413
2020-01-14 03:19:48.111810048,61.1804,-146.9751,4922.0,66.0,-2172.0,54.9,4417.0,68.8,11,S,1B,3413
2019-12-21 03:19:49.150680064,61.1804,-146.9751,4429.0,69.0,-2053.0,63.3,3924.0,71.1,11,S,1B,3413
2017-11-03 21:16:31.171019008,61.1804,-146.9751,1355.0,25.0,-531.0,37.6,1247.0,22.1,30,S,2A,3413
2019-07-16 21:15:21.190620928,61.1804,-146.9751,2077.0,16.0,-861.0,23.0,1891.0,14.4,50,S,2A,3413
2019-05-25 09:16:10.180914176,61.1804,-146.9751,7.0,2.0,1.0,4.3,7.0,2.4,505,S,2A,3413
2000-04-29 20:53:39.216280064,61.1804,-146.9751,3105.0,51.0,-1050.0,61.1,2922.0,49.9,47,L,7,3413
2002-09-02 20:49:25.476530944,61.1804,-146.9751,1252.0,40.0,-467.0,41.3,1162.0,39.2,63,L,7,3413
2020-10-14 16:13:26.947481088,61.1804,-146.9751,2219.0,81.0,-1152.0,78.3,1897.0,81.6,11,S,1A,3413
2017-11-01 09:16:15.171019264,61.1804,-146.9751,1265.0,29.0,-506.0,41.1,1159.0,25.9,25,S,2A,3413
2021-09-26 21:25:54.210208000,61.1804,-146.9751,32.0,5.0,-13.0,7.1,-29.0,3.8,459,S,2B,3413
2005-06-15 20:42:47.640572160,61.1804,-146.9751,2082.0,60.0,-791.0,68.7,1926.0,59.0,48,L,5,3413
2007-09-20 08:54:21.671773952,61.1804,-146.9751,1213.0,56.0,-509.0,53.3,1101.0,56.0,39,L,7,3413
2018-07-14 21:25:56.171100928,61.1804,-146.9751,6.0,3.0,5.0,3.5,4.0,1.6,509,S,2A,3413
2005-08-29 08:52:36.623874048,61.1804,-146.9751,1581.0,80.0,-550.0,73.7,1482.0,80.5,40,L,5,3413
2019-01-19 03:19:41.714053120,61.1804,-146.9751,4343.0,73.0,-2162.0,60.0,3766.0,76.7,11,S,1B,3413
2017-11-01 03:19:26.538708736,61.1804,-146.9751,1340.0,104.0,-893.0,94.2,1000.0,110.6,12,S,1B,3413
2021-09-11 09:16:30.210126080,61.1804,-146.9751,34.0,7.0,24.0,7.5,24.0,5.3,454,S,2B,3413
2017-12-25 03:19:35.848412928,61.1804,-146.9751,3867.0,50.0,-1510.0,45.1,3560.0,50.6,23,S,1B,3413
